bleach_norm,fco2_norm,pH_norm,Salinity_norm,SSTA_norm,DO_norm,talk_norm,tco2_norm
0.001051386,0.57385061,0.829960718,0.818119534,0.492081785,0.667987581,0.62004962,0.679476211
0.001051386,0.516215621,0.849625672,0.836826705,0.835885605,0.57442392,0.595682161,0.659901059
0.001051386,0.510367933,0.793355877,0.815412232,0.600959162,0.167115493,0.749929787,0.819638035
0.001051386,0.491159605,0.783382726,0.919515657,0.425946231,0.646028455,0.602384278,0.757390931
0.023212935,0.470783059,0.78280663,0.980615233,1,0.286916652,0.603721759,0.715426658
0.001051386,0.450406301,0.782230535,0.903842675,0.44227063,0.074049007,0.512995549,0.701823941
0.001227671,0.430237514,0.769111634,0.964813481,0.587168701,0.278264232,0.681877204,0.711677445
0.012803723,0.414097247,0.739824545,0.992290914,0.628586797,0.086631615,0.422093889,0.823626065
0.018679891,0.372597203,0.822093665,0.972733366,0.585024614,0.02107549,0.442412487,0.901302113
0.001051386,0,0.829960718,0.904841019,0.912904263,0.0109624,0.882904724,0.911965789
0.142079426,0.874027887,0.829960718,0.877310103,0.727178348,0.457999563,0.655220772,0.672444625
0.001322594,0.072674516,0.829960718,0.832483787,0.466879744,0.335375669,0.678238209,0.690009402
0.002990522,0.221095655,0.829960718,0.871298849,0.459284177,0.090572006,0.834952687,0.845054563
0.001051386,0.318743382,0.829960718,0.878244208,0.453017885,0.178051406,0.785733677,0.801073168
0.001051386,0.317929802,0.787798565,0.814444654,0.545388445,0.088285826,0.615246637,0.647295349
0.003695662,0.313934914,0.776480298,0.79316049,0.608465489,0.603697698,0.47601601,0.513395613
0.001271742,0.308604921,0.775906882,0.81760021,0.531474701,0.861402224,0.585913797,0.594910286
0.047389171,0.30327514,0.775330786,0.813836213,0.457343091,0.624399407,0.671163522,0.730848205
0.001051386,0.298152905,0.762211885,0.816358067,0.401531172,0.905969736,0.557942787,0.572275916
0.002955265,0.297944294,0.724880896,0.808103421,0.593191528,0.553018841,0.593044087,0.596548644
0.001051386,0.151858526,0.829960718,0.9206178,0.617537097,0.608969704,0.586725059,0.622219143
0.001051386,0.31788361,0.829960718,0.961719156,0.392452112,0.467697627,0.693742687,0.754088006
0.001051386,0.388604214,0.819800001,0.914473284,0.557300611,0.294126245,0.619120547,0.749592595
0.001051386,0.116820293,0.800151125,0.927540815,0.4463854,0.153147432,0.674703052,0.782796419
0.014443426,0.387667596,0.564603084,0.810760151,0.588401352,0.250226177,0.700018128,0.803510889
0.041596948,0.26709253,0.861777268,0.818404317,0.397507939,0.353819009,0.719645956,0.809588779
0.001051386,0.283303042,0.780896137,0.812375319,0.53062834,0.093312987,0.682541789,0.840012366
0.009089589,0.283835211,0.769580549,0.821211666,0.400362021,0.065328104,0.816623233,0.829834664
0.009931594,0.283032062,0.769004453,0.797823393,0.374471934,0.095792472,0.779758314,0.826620765
0.01515419,0.282228912,0.768431037,0.778448124,0.307328702,0.099241801,0.684472322,0.789205583
0.001051386,0.281633521,0.755309457,0.81828312,0.25601045,0.092124723,0.64481581,0.7751346
0.001051386,0.284805037,0.711201976,0.750010253,0.349024292,0.08304591,0.452980044,0.827567103
0.002814237,0.255169385,0.819864309,0.82328406,0.511309366,0.563368992,0.682357093,0.692949112
0.001051386,0.201985885,0.829960718,0.904298311,0.339657184,0.819206126,0.546538925,0.645468151
0.00845002,0.152696799,0.829960718,0.860298991,0.633660446,0.094591703,0.647230618,0.669223869
0.004750241,0.113919333,0.80651765,0.820150375,0.540419766,0.093177757,0.768836442,0.78282474
0.011569379,0.43339498,0.503483368,0.817730642,0.154461108,0.384642696,0.751043307,0.751957838
0.006339938,0.314140757,0.88481305,0.808456584,0.287852034,0.6708165,0.751431727,0.755698405
0.00678065,0.352046105,0.773996388,0.844644386,0.449751451,0.076456465,0.944018174,0.947809411
0.00398947,0.371010487,0.7626808,0.809684701,0.427940957,0.049694227,0.85204276,0.862585527
0.012803723,0.38863955,0.762104705,0.827497004,0.413517669,0.093591516,0.72223167,0.787728722
0.010285365,0.4062684,0.761528609,0.825585503,0.431767631,0.102511638,0.61237592,0.71494277
0.001051386,0.424105221,0.748409708,0.81649699,0.594964759,0.088838059,0.785972531,0.822112495
0.008102788,0.444562444,0.697520378,0.863414813,0.615236884,0.055786656,0.496847118,0.530481166
0.005282227,0.431470017,0.819403433,0.74572846,0.743490404,0.000264034,0.533014083,0.561158477
0.001051386,0.484709927,0.817549209,0.839504133,0.39543214,0.444187591,0.516823588,0.820314265
0.001051386,0.602678429,0.82030107,0.781464967,0.743306493,0.246466472,0.543071467,0.830406772
0.001051386,0.304941042,0.8142936,0.986257522,0.528480599,0.094112619,0.789523854,0.841153647
0.004968832,0.658791414,0.442363653,0.99346702,0.668513591,0.092929949,0.842803217,0.858775521
0.026234965,0.522426249,0.907851512,0.925720995,0.684043142,0.094505489,0.891397001,0.897590079
0.019120604,0.56359422,0.767096639,0.814990011,0.61345981,0.092959886,0.513459377,0.578507413
0.009865639,0.582558389,0.755778372,0.826383343,0.405120621,0.085432452,0.605016009,0.63483789
0.021198249,0.600187451,0.755204956,0.768386283,0.800047274,0.10544782,0.993620379,0.993090634
0.001371904,0.617816514,0.754628861,0.79504244,0.746766068,0.109859965,1,1
0.00222662,0.635653123,0.74150996,0.787787093,0.731934929,0.109538994,0.658788616,0.679954256
0.009865639,0.65496384,0.683841459,0.754996289,0.468764099,0.048075972,0.470047502,0.503371413
0.019855125,0.840345195,0.829960718,0.785949596,0.357590196,0.057717879,0.322191146,0.365157722
0.024556059,0.896413265,0.829960718,0.798884487,0.710341356,0.265937969,0.559887569,0.612765755
0.008750342,0.890617091,0.829960718,0.796785294,0.326237451,0.132069914,0.48916257,0.521330119
0.002735888,0.429403711,0.82206687,0.807083123,0.417197917,0.763571871,0.59221855,0.601841252
0.001051386,0.787183194,0.381243938,0.816141179,0.540182344,0.694635776,0.594152222,0.599549263
0.005458512,0.603260835,0.930887294,0.802764448,0.447537271,0.426246083,0.532489425,0.74539607
0.032782695,0.617245816,0.760194211,0.798552582,0.654148707,0.092413273,0.425380158,0.890443496
0.001051386,0.605764159,0.748878623,0.798777248,0.867772431,0.186925589,0.502207025,0.665247241
0.012442406,0.592947396,0.748302528,0.797224669,0.42766458,0.077271498,0.486017161,0.540791147
0.001051386,0.58013042,0.747729112,0.795672091,0.462630289,0.100852439,0.498397872,0.62447301
0.001051386,0.567521416,0.734607532,0.794119512,0.589315516,0.095166914,0.497622042,0.616843241
0.01478163,0.558861107,0.671845274,0.792566934,0.613381673,0.006489682,0.506770813,0.538265545
0.017690535,0.50438997,0.817522414,0.798929743,0.697319409,0.068970489,0.494367448,0.621408278
0.002814237,0.548681349,0.809173048,0.80248342,0.659996951,0.119220882,0.557248838,0.585000324
0.022688358,0.638673077,0.818693362,0.811290839,0,0.060572656,0.481010137,0.669945828
0.020466817,0.049165623,0.829960718,0.837787019,0.465559177,0.077480062,0.429110477,0.850370118
0.084101232,0.659615212,0.320124222,0.814304655,0.553058248,0.094899605,0.445537633,0.918049263
0.001051386,0.47096719,0.953925756,0.817655603,0.552578939,0.141572297,0.4194703,0.582281366
0.036308396,0.500600074,0.753294463,0.761357006,0.393624306,0.103144475,0.361583169,0.429011072
0.00222662,0.501504123,0.741978875,0.796020558,0.700855777,0.1129392,0.500668879,0.585946999
0.003695662,0.50107264,0.741402779,0.812206555,0.383332514,0.110592342,0.553553346,0.582281366
0.019561316,0.50064137,0.740826684,0.809931033,0.737880257,0.088106239,0.550115778,0.57858133
0.052835119,0.500417859,0.727707783,0.804838096,0.424861677,0.092342723,0.572614099,0.574896388
0.01515419,0.506617843,0.65984909,0.796170481,0.644704224,0.047171868,0.485605679,0.582281366
0.035183895,0.455488091,0.816107631,0.793964572,0.394161871,0.096907597,0.837833476,0.850603043
0.025808905,0.523733895,0.804186473,0.803506435,0.394843672,0.025862281,0.497678814,0.334579143
0.001051386,0.624488213,0.817329489,0.788886992,0.82273608,0.011056002,0.677622582,0.441507883
0.042148896,0.049165623,0.829960718,0.782435776,0.239217207,0.0417853,0.850761078,0.33396462
0.052174051,0.67594642,0.258787466,0.732950256,0.354768839,0.017962424,0.722827375,0.389078308
0.056144552,0.485357897,0.976961538,0.811797946,0.438608582,0.032705409,0.903285032,0.335433085
0.002814237,0.529668433,0.746394714,0.818787925,0.480483175,0.007312992,0.786272885,0.336271645
0.142079426,0.541987086,0.735076447,0.803502765,0.583287976,0.032334676,0.684487897,0.369841066
0.082971398,0.552970632,0.734503031,0.804082041,0.459744313,0.030247719,0.631778578,0.335118718
0.018872202,0.563953966,0.733926935,0.804661316,0.636043309,0.029221387,0.7748047,0.335477384
0.071565406,0.575145272,0.720808034,0.805240592,0.455154452,0.026924315,0.332918696,0.336398519
0.043024017,0.595234872,0.647855585,0.805819868,0.57191662,0.013476516,0.558018404,0.462195914
0.036308396,0.439548772,0.829960718,0.806399144,0.27455548,0.047786817,0.554491022,0.511074688
0.001051386,0.733687843,0.829960718,0.816924839,0.552616171,0.093369748,0.554867859,0.628841177
0.20214696,0.791727068,0.829960718,0.806351999,0.52904265,0.092040955,0.339716627,0.386017093
0.236307016,0.368542074,0.829960718,0.805725579,0.536769893,0.066289037,0.487930136,0.862682786
1,1,0,0.805099158,0.657971708,0.003297871,0.484247882,0.864577923
0.293096951,0.607266792,1,0.804472738,0.821778738,0.091141519,0.847336655,0.859856842
0.49425778,0.643105407,0.739492286,0.803846318,0.744327759,0.095004665,0.98121855,0.983469592
0.052614763,0.643689516,0.728176698,0.803219898,0.625216507,0.091186688,0.550824408,0.584491901
0.080379658,0.642938519,0.727600602,0.802593478,0.484287994,0.092493911,0.646579166,0.708065743
0.041596948,0.642187309,0.727027186,0.801967058,0.735060941,0.073539675,0.637963772,0.691635288
0.142079426,0.641643858,0.713905606,0.801340638,0.768889248,0.080994338,0.629348378,0.675204835
0.110348117,0.650541088,0.638195937,0.800714217,0.473563178,0.039354154,0.554376756,0.582281366
0.125773059,0.588420977,0.813307539,0.800087798,0.609760537,0.058322416,0.623503434,0.663717934
0.090911128,0.669542296,0.789540249,0.988685031,0.43023862,0.091512954,0.814684649,0.830202228
0.091466506,0.764350155,0.807353658,0.988825458,0.315425013,0.032555498,0.557248838,0.585000324
0.001051386,0.376129103,0.84742847,0.98800105,0.427846683,0.053207053,0.580042549,0.624504324
0.053055476,0.810470067,0.188836073,1,0.470146134,0.039361332,0.487101474,0.582281366
0.131110578,0.598253336,0.993097572,0.992967848,0.473521749,0.078213914,0.55366974,0.603183657
0.001051386,0.634091738,0.732592537,0.99302991,0.658768438,0.002278528,0.549227494,0.58596559
0.025324482,0.63467606,0.721276949,0.990133466,0.552146125,0.044557468,0.53948139,0.592514746
0.002461667,0.63392485,0.720700854,0.989266876,0.334887875,0.049532322,0.484803282,0.582281366
0.049149311,0.63317364,0.720124758,0.99105654,0.456194689,0.034245723,0.533002776,0.586535283
0.051715589,0.632630402,0.707005857,0.987147421,0.456191957,0.045368017,0.533827866,0.584433519
0.04864835,0.642069806,0.628536289,0.986919718,0.382851088,0.007395469,0.547429652,0.586088398
0.052888,0.548323305,0.829960718,0.971992021,0.44409047,0.030031365,0.533285755,0.579180291
